danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track.name,track.album.name
0.604,0.749,7,-4.356,0,0.0313,0.114,0,0.0788,0.737,110.044,audio_features,68qYhu1du0kbiyAtnIKNLh,spotify:track:68qYhu1du0kbiyAtnIKNLh,https://api.spotify.com/v1/tracks/68qYhu1du0kbiyAtnIKNLh,https://api.spotify.com/v1/audio-analysis/68qYhu1du0kbiyAtnIKNLh,248600,4,Tea for Two,Francis Trouble
0.692,0.746,8,-4.874,1,0.0407,0.0159,0.00135,0.109,0.942,125.015,audio_features,5Uv745RQ6uXics2lpvypZy,spotify:track:5Uv745RQ6uXics2lpvypZy,https://api.spotify.com/v1/tracks/5Uv745RQ6uXics2lpvypZy,https://api.spotify.com/v1/audio-analysis/5Uv745RQ6uXics2lpvypZy,249502,4,No One There (feat. Julian Casablancas),Last Dance
0.484,0.841,0,-5.547,1,0.0302,4.07E-06,0.00185,0.322,0.419,92.489,audio_features,6APntjRiq5YEH9AtI1mNlV,spotify:track:6APntjRiq5YEH9AtI1mNlV,https://api.spotify.com/v1/tracks/6APntjRiq5YEH9AtI1mNlV,https://api.spotify.com/v1/audio-analysis/6APntjRiq5YEH9AtI1mNlV,227294,4,Side Boob,Momentary Masters
0.601,0.863,0,-4.31,1,0.0685,0.0626,0,0.0717,0.676,130.189,audio_features,4JeTkHQcajdkhGwaGsaKMT,spotify:track:4JeTkHQcajdkhGwaGsaKMT,https://api.spotify.com/v1/tracks/4JeTkHQcajdkhGwaGsaKMT,https://api.spotify.com/v1/audio-analysis/4JeTkHQcajdkhGwaGsaKMT,312347,4,Four Out Of Five,Tranquility Base Hotel & Casino
0.866,0.691,5,-4.371,0,0.0478,0.727,0.503,0.0737,0.87,94.997,audio_features,4xlpJ99yL9xYQtzG6c3hwk,spotify:track:4xlpJ99yL9xYQtzG6c3hwk,https://api.spotify.com/v1/tracks/4xlpJ99yL9xYQtzG6c3hwk,https://api.spotify.com/v1/audio-analysis/4xlpJ99yL9xYQtzG6c3hwk,336867,4,Luv(sic.) pt3 (feat. Shing02),Modal Soul
0.694,0.766,11,-6.165,0,0.14,0.509,0.0141,0.253,0.583,95.966,audio_features,1Vb2J33frYj5xiTyz7mB50,spotify:track:1Vb2J33frYj5xiTyz7mB50,https://api.spotify.com/v1/tracks/1Vb2J33frYj5xiTyz7mB50,https://api.spotify.com/v1/audio-analysis/1Vb2J33frYj5xiTyz7mB50,192685,4,Daydreaming in the Projects,Brick Body Kids Still Daydream
0.334,0.94,7,-5.013,1,0.23,0.123,0.592,0.313,0.207,130.249,audio_features,65ZXieFfjnc5RdWDDpYZNb,spotify:track:65ZXieFfjnc5RdWDDpYZNb,https://api.spotify.com/v1/tracks/65ZXieFfjnc5RdWDDpYZNb,https://api.spotify.com/v1/audio-analysis/65ZXieFfjnc5RdWDDpYZNb,443738,4,Father Electricity,Tyranny
0.852,0.655,5,-11.498,0,0.0645,0.107,2.07E-05,0.137,0.952,115.962,audio_features,2AnTuxahfcAS7dGxGZnihY,spotify:track:2AnTuxahfcAS7dGxGZnihY,https://api.spotify.com/v1/tracks/2AnTuxahfcAS7dGxGZnihY,https://api.spotify.com/v1/audio-analysis/2AnTuxahfcAS7dGxGZnihY,279360,4,Cantaloop (Flip Fantasia),Hand On The Torch
0.683,0.625,11,-6.396,0,0.0454,0.134,2.44E-06,0.81,0.23,136.18,audio_features,7tlGq6EAEIWsv7srZWc5f7,spotify:track:7tlGq6EAEIWsv7srZWc5f7,https://api.spotify.com/v1/tracks/7tlGq6EAEIWsv7srZWc5f7,https://api.spotify.com/v1/audio-analysis/7tlGq6EAEIWsv7srZWc5f7,247553,4,Brick Body Complex,Brick Body Kids Still Daydream
0.623,0.819,7,-6.377,1,0.222,0.121,0.141,0.118,0.705,79.435,audio_features,0V6QNE31BWyMuiKlvDRnE9,spotify:track:0V6QNE31BWyMuiKlvDRnE9,https://api.spotify.com/v1/tracks/0V6QNE31BWyMuiKlvDRnE9,https://api.spotify.com/v1/audio-analysis/0V6QNE31BWyMuiKlvDRnE9,254049,4,(How Could Anybody) Feel at Home,Brick Body Kids Still Daydream
0.676,0.744,2,-9.43,1,0.0404,0.000589,0.0222,0.0869,0.653,158.585,audio_features,7CZVRcSQovpWUtG8FeDqMU,spotify:track:7CZVRcSQovpWUtG8FeDqMU,https://api.spotify.com/v1/tracks/7CZVRcSQovpWUtG8FeDqMU,https://api.spotify.com/v1/audio-analysis/7CZVRcSQovpWUtG8FeDqMU,240173,4,I'm Sorry We Lied,Coastal Grooves
0.657,0.435,10,-15.707,1,0.0552,0.739,0,0.167,0.771,135.975,audio_features,0q21FNwES2bbtcduB6kjEU,spotify:track:0q21FNwES2bbtcduB6kjEU,https://api.spotify.com/v1/tracks/0q21FNwES2bbtcduB6kjEU,https://api.spotify.com/v1/audio-analysis/0q21FNwES2bbtcduB6kjEU,181133,4,Dancing in the Moonlight,Dancing in the Moonlight
0.644,0.708,9,-6.742,0,0.029,0.00327,0.184,0.19,0.452,127.05,audio_features,5pFSbiW5XewiQONONBQbqF,spotify:track:5pFSbiW5XewiQONONBQbqF,https://api.spotify.com/v1/tracks/5pFSbiW5XewiQONONBQbqF,https://api.spotify.com/v1/audio-analysis/5pFSbiW5XewiQONONBQbqF,231533,4,Games,Angles
0.377,0.937,6,-2.065,1,0.0996,0.00141,0.00816,0.121,0.399,154.051,audio_features,6ETWn02Bv8JIYXHvSoQD5u,spotify:track:6ETWn02Bv8JIYXHvSoQD5u,https://api.spotify.com/v1/tracks/6ETWn02Bv8JIYXHvSoQD5u,https://api.spotify.com/v1/audio-analysis/6ETWn02Bv8JIYXHvSoQD5u,308107,4,River of Brakelights,Phrazes For The Young
0.519,0.882,11,-4.992,0,0.0586,8.46E-05,0.0266,0.121,0.795,147.984,audio_features,3qrvuhiRAAHwNqmKsvhv7i,spotify:track:3qrvuhiRAAHwNqmKsvhv7i,https://api.spotify.com/v1/tracks/3qrvuhiRAAHwNqmKsvhv7i,https://api.spotify.com/v1/audio-analysis/3qrvuhiRAAHwNqmKsvhv7i,183382,4,Caught By My Shadow,Momentary Masters
0.594,0.889,2,-3.701,1,0.0407,0.343,0.599,0.385,0.646,96.986,audio_features,4WFcerMZkAIcIizZYXNNrb,spotify:track:4WFcerMZkAIcIizZYXNNrb,https://api.spotify.com/v1/tracks/4WFcerMZkAIcIizZYXNNrb,https://api.spotify.com/v1/audio-analysis/4WFcerMZkAIcIizZYXNNrb,326707,4,Pink Ocean,Virtue
